,head_to_head_stats_id,main_athlete_id,main_athlete_name,opponent_athlete_id,opponent_athlete_name,tournament_id,tournament_name,tournament_date,round_name,result_for_main_id,main_id,winner
833,4679,57372,DHRUV KAPILA,60980,Rohan KAPOOR,5242,YONEX German Open 2025,2025-02-25,R32,Win,57372,2
834,2459,80146,Tanishq MAMILLA PALLI,86431,Ishita NEGI,5189,HUNDRED Sri Lanka International Challenge 2025,2025-02-25,Qual. R16,Win,80146,1
835,2460,80146,Tanishq MAMILLA PALLI,69436,Siang Syuan LIN,5189,HUNDRED Sri Lanka International Challenge 2025,2025-02-25,Qual. R32,Win,80146,2
836,4678,57372,DHRUV KAPILA,88726,Jones Ralfy JANSEN,5242,YONEX German Open 2025,2025-02-25,R16,Win,57372,2
837,4677,57372,DHRUV KAPILA,57943,Jia Xuan GAO,5242,YONEX German Open 2025,2025-02-25,QF,Win,57372,1
838,2512,78187,Farza NAZRIN,81703,Mysha Omer KHAN,5189,HUNDRED Sri Lanka International Challenge 2025,2025-02-25,Qual. R32,Loss,78187,2
839,3463,73913,Dingku Singh KONTHOUJAM,71034,Chang Lung LEE,5189,HUNDRED Sri Lanka International Challenge 2025,2025-02-25,R32,Win,73913,1
840,4448,97262,Arathi Sara SUNIL,67373,Debora JILLE,5242,YONEX German Open 2025,2025-02-25,Qual. QF,Loss,97262,1
841,2344,74880,Adita RAO,67828,Manami SUIZU,5189,HUNDRED Sri Lanka International Challenge 2025,2025-02-25,Final,Loss,74880,1
842,1953,86604,Tasnim MIR,61614,Ciou-Tong TUNG,5242,YONEX German Open 2025,2025-02-25,R16,Win,86604,1
843,2068,66290,TANYA HEMANTH,87112,Kaloyana NALBANTOVA,5242,YONEX German Open 2025,2025-02-25,R32,Loss,66290,2
844,1952,86604,Tasnim MIR,75678,Thuy Linh NGUYEN,5242,YONEX German Open 2025,2025-02-25,QF,Loss,86604,1
845,399,95439,Alap MISHRA,70383,Shahyar SHAQEEM,5189,HUNDRED Sri Lanka International Challenge 2025,2025-02-25,R32,Loss,95439,1
846,1954,86604,Tasnim MIR,78208,Rachel CHAN,5242,YONEX German Open 2025,2025-02-25,R32,Win,86604,1
847,2097,59500,Shreya LELE,88399,Ishika JAISWAL,5189,HUNDRED Sri Lanka International Challenge 2025,2025-02-25,QF,Win,59500,1
848,3648,90307,Bhargav Ram ARIGELA,98102,Wen-Hsun HO,5189,HUNDRED Sri Lanka International Challenge 2025,2025-02-25,Qual. R16,Loss,90307,1
849,2096,59500,Shreya LELE,74880,Adita RAO,5189,HUNDRED Sri Lanka International Challenge 2025,2025-02-25,SF,Loss,59500,2
850,2099,59500,Shreya LELE,75598,Deswanti Hujansih NURTERTIATI,5189,HUNDRED Sri Lanka International Challenge 2025,2025-02-25,R32,Win,59500,1
851,2041,76851,Isharani BARUAH,80402,AAKARSHI KASHYAP,5242,YONEX German Open 2025,2025-02-25,R32,Loss,76851,1
852,2129,83856,IRA SHARMA,80795,Yi-Ting HUNG,5189,HUNDRED Sri Lanka International Challenge 2025,2025-02-25,R32,Loss,83856,1
853,5360,92281,Aaryan SAPIAH,94966,Nicky Yemin AUNG,5189,HUNDRED Sri Lanka International Challenge 2025,2025-02-25,R32,Win,92281,2
854,3649,90307,Bhargav Ram ARIGELA,16921,Kumarendran KANUJAN,5189,HUNDRED Sri Lanka International Challenge 2025,2025-02-25,Qual. R32,Win,90307,2
855,3695,80975,Arya THAKORE,78425,Xin Yuan BOON,5189,HUNDRED Sri Lanka International Challenge 2025,2025-02-25,R16,Loss,80975,2
856,3696,80975,Arya THAKORE,11603,Cheng CHEN,5189,HUNDRED Sri Lanka International Challenge 2025,2025-02-25,R32,Win,80975,1
857,2098,59500,Shreya LELE,87885,Neslihan ARIN,5189,HUNDRED Sri Lanka International Challenge 2025,2025-02-25,R16,Win,59500,1
858,5359,92281,Aaryan SAPIAH,64173,Van Truong PHAM,5189,HUNDRED Sri Lanka International Challenge 2025,2025-02-25,R16,Loss,92281,2
859,400,95439,Alap MISHRA,87688,Orijit CHALIHA,5189,HUNDRED Sri Lanka International Challenge 2025,2025-02-25,R64,Win,95439,2
860,1282,86556,Govind KRISHNA,73116,Najjimu MBOWA,5292,Uganda International Challenge 2025,2025-02-19,Qual. R32,Win,86556,2
861,1283,86556,Govind KRISHNA,73971,Akbar ODUKA,5292,Uganda International Challenge 2025,2025-02-19,Qual. R64,Win,86556,2
862,3154,92109,Sri Nitya NARAHARISETTI,89937,Agnes Nyandiko ODINGA,5292,Uganda International Challenge 2025,2025-02-19,Qual. R32,Win,92109,2
863,3466,73913,Dingku Singh KONTHOUJAM,79176,Ahmed NIBAL,5292,Uganda International Challenge 2025,2025-02-19,QF,Win,73913,1
864,3155,92109,Sri Nitya NARAHARISETTI,35496,Tan CHANICE,5292,Uganda International Challenge 2025,2025-02-19,Qual. R16,Win,92109,2
865,3153,92109,Sri Nitya NARAHARISETTI,59500,Shreya LELE,5292,Uganda International Challenge 2025,2025-02-19,R32,Loss,92109,2
866,3794,81762,RAJAIN ABHIMANYU,77168,Dev AYYAPPAN,5292,Uganda International Challenge 2025,2025-02-19,QF,Loss,81762,1
867,3467,73913,Dingku Singh KONTHOUJAM,94553,Ulvi HUSEYNOV,5292,Uganda International Challenge 2025,2025-02-19,R16,Win,73913,1
868,3791,56434,Akshan SHETTY,78736,Arafat Tendo KIBIRIGE,5292,Uganda International Challenge 2025,2025-02-19,R16,Win,56434,2
869,3468,73913,Dingku Singh KONTHOUJAM,39600,Denis MUKASA,5292,Uganda International Challenge 2025,2025-02-19,R32,Win,73913,1
870,1284,86556,Govind KRISHNA,84126,Dev VISHNU,5292,Uganda International Challenge 2025,2025-02-19,Qual. R16,Loss,86556,1
871,3795,81762,RAJAIN ABHIMANYU,82989,Dmitriy PANARIN,5292,Uganda International Challenge 2025,2025-02-19,R16,Win,81762,2
872,4549,80823,Pranika HOLKAR,97637,Brenda NAMANYA,5292,Uganda International Challenge 2025,2025-02-19,R32,Win,80823,1
873,3801,95523,Aditya DIWAKAR,86857,Lakshay MALIK,5292,Uganda International Challenge 2025,2025-02-19,QF,Win,95523,2
874,5329,78330,Anuj KALE,71815,Reagan Micheal NSUBUGA,5292,Uganda International Challenge 2025,2025-02-19,R16,Win,78330,1
