athlete_id,athlete_name,tournament_date,world_ranking,world_tour_ranking,olympic_rank
68870,Lakshya SEN,2022-07-05,10,5,
68870,Lakshya SEN,2022-07-12,10,7,
68870,Lakshya SEN,2022-07-19,10,8,
68870,Lakshya SEN,2022-07-26,10,9,
68870,Lakshya SEN,2022-08-02,10,9,
68870,Lakshya SEN,2022-08-09,10,9,
68870,Lakshya SEN,2022-08-16,10,9,
68870,Lakshya SEN,2022-08-23,10,9,
68870,Lakshya SEN,2022-08-30,10,9,
68870,Lakshya SEN,2022-09-06,9,9,
68870,Lakshya SEN,2022-09-13,9,9,
68870,Lakshya SEN,2022-09-20,9,9,
68870,Lakshya SEN,2022-09-27,9,9,
68870,Lakshya SEN,2022-10-04,9,10,
68870,Lakshya SEN,2022-10-11,8,10,
68870,Lakshya SEN,2022-10-18,8,10,
68870,Lakshya SEN,2022-10-25,8,10,
68870,Lakshya SEN,2022-11-01,8,10,
68870,Lakshya SEN,2022-11-08,6,11,
68870,Lakshya SEN,2022-11-15,7,11,
68870,Lakshya SEN,2022-11-22,7,11,
68870,Lakshya SEN,2022-11-29,6,11,
68870,Lakshya SEN,2022-12-06,6,11,
68870,Lakshya SEN,2022-12-13,7,11,
68870,Lakshya SEN,2022-12-20,7,11,
68870,Lakshya SEN,2022-12-27,7,11,
68870,Lakshya SEN,2023-01-03,10,11,
68870,Lakshya SEN,2023-01-10,10,11,
68870,Lakshya SEN,2023-01-17,12,11,
68870,Lakshya SEN,2023-01-24,12,19,
68870,Lakshya SEN,2023-01-31,11,13,
68870,Lakshya SEN,2023-02-07,11,17,
68870,Lakshya SEN,2023-02-14,11,17,
68870,Lakshya SEN,2023-02-21,12,17,
68870,Lakshya SEN,2023-02-28,12,17,
68870,Lakshya SEN,2023-03-07,12,17,
68870,Lakshya SEN,2023-03-14,19,18,
68870,Lakshya SEN,2023-03-21,25,17,
68870,Lakshya SEN,2023-03-28,25,17,
68870,Lakshya SEN,2023-04-04,25,20,
68870,Lakshya SEN,2023-04-11,24,20,
68870,Lakshya SEN,2023-04-18,24,20,
68870,Lakshya SEN,2023-04-25,24,20,
