athlete_id,main_athlete_name,tournament_id,tournament_name,year,tournament_date,round_name,notable_win,lost_to
91807,Rakshitha Sree Santhosh Ramraj,4875,YONEX-SUNRISE Vietnam Open 2024,2024,15 September,R16,,Wang Dai (64)
91807,Rakshitha Sree Santhosh Ramraj,4755,YONEX Taipei Open 2024,2024,8 September,R32,,Asuka Takahashi (59)
91807,Rakshitha Sree Santhosh Ramraj,4874,WONDR by BNI Indonesia Masters 2024,2024,1 September,QF,,Hina Akechi (55)
91807,Rakshitha Sree SANTHOSH RAMRAJ,5090,ST DENIS Reunion Open 2024,2024,7 July,SF,,Tasnim MIR (66)
91807,Rakshitha Sree Santhosh Ramraj,4879,VICTOR Kaohsiung Masters 2024,2024,23 June,R16,,Pin-Chian Chiu (27)
91807,Rakshitha Sree SANTHOSH RAMRAJ,5052,I FEEL SLOVENIA LI-NING Open 2024,2024,19 May,SF,,
91807,Rakshitha Sree Santhosh Ramraj,5051,STATE Denmark Challenge 2024 presented by RSL,2024,11 May,R32,,Amalie Schulz (67)
91807,Rakshitha Sree Santhosh Ramraj,4871,TOYOTA International Challenge 2024,2024,31 March,Qual. R16,,Ruo Hsuan Ko
91807,Rakshitha Sree Santhosh Ramraj,4992,CIPUTRA HANOI - YONEX SUNRISE Vietnam International Challenge 2024,2024,17 March,Qual. R16,,
91807,Rakshitha Sree SANTHOSH RAMRAJ,4997,LI NING Sri Lanka International Series 2024,2024,18 February,R16,,Ruzana RUZANA
91807,Rakshitha Sree Santhosh Ramraj,4996,LI NING Sri Lanka International Challenge 2024,2024,11 February,SF,,Isharani Baruah (79)
97168,Aalisha NAIK,5129,NMDC - TELANGANA International Challenge 2024,2024,10 November,R64,,Aesha GANDHI
97168,Aalisha NAIK,4759,YONEX BWF World Junior Championships 2024,2024,13 October,QF,,Qin Yi DAI
97168,Aalisha NAIK,4758,BWF World Junior Mixed Team Championships 2024,2024,5 October,R2,,
97168,Aalisha Naik,5113,BNI Badminton Asia Junior Championships 2024 (Individual),2024,7 July,R64,,Yi Qing Yin
97168,Aalisha NAIK,4997,LI NING Sri Lanka International Series 2024,2024,18 February,Qual. R32,,Arena SAMIN
99042,Tanvi Sharma,4881,YONEX-SUNRISE Odisha Masters 2024,2024,15 December,SF,"Anmol Kharb (65), Anupama Upadhyaya (42)",Yan Yan Cai
99042,Tanvi Sharma,4880,YONEX-SUNRISE Guwahati Masters 2024,2024,8 December,QF,,Luo Yu Wu (56)
99042,Tanvi Sharma,4767,Syed Modi India International 2024,2024,1 December,Qual. QF,,
99042,Tanvi SHARMA,5130,CM TROPHY India International Challenge 2024,2024,17 November,QF,Anupama UPADHYAYA (42),Shriyanshi VALISHETTY (76)
99042,Tanvi SHARMA,5129,NMDC - TELANGANA International Challenge 2024,2024,10 November,R16,,Isharani BARUAH (79)
99042,Tanvi SHARMA,4759,YONEX BWF World Junior Championships 2024,2024,13 October,QF,,Wen Jing XU
99042,Tanvi SHARMA,4758,BWF World Junior Mixed Team Championships 2024,2024,5 October,R5,,
99042,Tanvi Sharma,4874,WONDR by BNI Indonesia Masters 2024,2024,1 September,Qual. R16,,
99042,Tanvi SHARMA,5119,WONDR by BNI Indonesia International Challenge 2024,2024,25 August,Qual. R16,,Anmol KHARB (65)
99042,Tanvi Sharma,5113,BNI Badminton Asia Junior Championships 2024 (Individual),2024,7 July,R16,,Sarunrak Vitidsarn
99042,Tanvi SHARMA,5106,BNI Badminton Asia Junior Championships 2024 (Team),2024,2 July,QF,,
99042,Tanvi Sharma,5047,YONEX Bonn International 2024,2024,1 June,SF,,
99042,Tanvi SHARMA,5052,I FEEL SLOVENIA LI-NING Open 2024,2024,19 May,Qual. R16,,
99042,UNKNOWN,5052,I FEEL SLOVENIA LI-NING Open 2024,2024,19 May,Qual. R64,,
99042,Tanvi SHARMA,5147,TotalEnergies BWF Thomas & Uber Cup Finals 2024,2024,5 May,QF,,Tomoka MIYAZAKI (7)
